"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"NTPC","EQ","01-Jan-2016","        146.25","        146.30","        146.30","        144.10","        144.80","        144.50","        144.81","     906633","           131289033.20","      10122"
"NTPC","EQ","04-Jan-2016","        144.50","        143.25","        147.00","        142.85","        143.80","        143.30","        144.63","    1383462","           200090178.75","      19873"
"NTPC","EQ","05-Jan-2016","        143.30","        144.70","        145.65","        142.00","        142.25","        142.25","        143.45","    1819511","           261004221.35","      21150"
"NTPC","EQ","06-Jan-2016","        142.25","        142.00","        142.90","        140.05","        140.90","        141.45","        141.61","    2129651","           301589841.00","      35989"
"NTPC","EQ","07-Jan-2016","        141.45","        140.90","        140.90","        137.05","        138.20","        137.85","        138.60","    3664338","           507879072.00","      49937"
"NTPC","EQ","08-Jan-2016","        137.85","        138.20","        140.20","        137.10","        139.40","        139.55","        139.03","    4166852","           579329694.55","      54030"
"NTPC","EQ","11-Jan-2016","        139.55","        137.25","        142.95","        137.25","        142.05","        141.60","        141.23","    7996423","          1129364938.60","      79135"
"NTPC","EQ","12-Jan-2016","        141.60","        143.50","        145.90","        142.75","        145.70","        145.20","        144.61","    4442817","           642460950.90","      57800"
"NTPC","EQ","13-Jan-2016","        145.20","        145.90","        146.95","        141.30","        144.50","        144.25","        144.51","    5279498","           762935327.00","      30223"
"NTPC","EQ","14-Jan-2016","        144.25","        142.90","        144.60","        140.30","        143.55","        143.20","        142.94","    2181174","           311777512.00","      14855"
"NTPC","EQ","15-Jan-2016","        143.20","        143.90","        144.50","        135.65","        136.00","        136.45","        138.84","    4844569","           672598976.00","      44774"
"NTPC","EQ","18-Jan-2016","        136.45","        135.90","        138.55","        133.25","        136.05","        134.60","        135.37","    5912308","           800355885.05","      42177"
"NTPC","EQ","19-Jan-2016","        134.60","        135.40","        138.15","        134.40","        135.10","        135.15","        136.37","    2730088","           372291008.50","      41716"
