"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ONGC","EQ","01-Jan-2016","        241.75","        239.90","        243.40","        238.10","        241.55","        242.50","        241.39","    1847985","           446081747.00","      13709"
"ONGC","EQ","04-Jan-2016","        242.50","        241.00","        244.80","        235.65","        238.50","        238.05","        240.58","    2083421","           501228858.95","      24271"
"ONGC","EQ","05-Jan-2016","        238.05","        240.00","        244.25","        239.05","        241.80","        241.85","        241.71","    2430875","           587576793.05","      24576"
"ONGC","EQ","06-Jan-2016","        241.85","        242.00","        242.30","        234.65","        237.00","        237.55","        239.32","    2004807","           479783775.25","      31040"
"ONGC","EQ","07-Jan-2016","        237.55","        231.00","        233.90","        224.05","        226.00","        226.60","        226.64","    5072924","          1149723539.05","      46696"
"ONGC","EQ","08-Jan-2016","        226.60","        228.00","        231.80","        225.65","        231.20","        230.15","        229.61","    4598879","          1055937857.75","      32067"
"ONGC","EQ","11-Jan-2016","        230.15","        226.00","        227.25","        222.15","        225.65","        225.50","        225.18","    4275597","           962778223.00","      48836"
"ONGC","EQ","12-Jan-2016","        225.50","        224.00","        224.30","        220.00","        222.10","        221.35","        220.99","    3695782","           816720650.30","      60680"
"ONGC","EQ","13-Jan-2016","        221.35","        223.00","        223.95","        217.55","        223.55","        223.20","        221.08","    3589717","           793613093.90","      38470"
"ONGC","EQ","14-Jan-2016","        223.20","        220.95","        225.50","        216.60","        223.60","        223.25","        221.73","    4349051","           964325655.70","      44694"
"ONGC","EQ","15-Jan-2016","        223.25","        224.40","        224.40","        217.80","        218.10","        219.45","        220.72","    3008388","           664020033.90","      32088"
"ONGC","EQ","18-Jan-2016","        219.45","        217.00","        218.00","        211.25","        214.80","        214.40","        214.53","    3822690","           820082936.00","      42713"
"ONGC","EQ","19-Jan-2016","        214.40","        215.60","        219.40","        211.50","        218.00","        218.00","        215.89","    2531939","           546608929.45","      25548"
"ONGC","EQ","20-Jan-2016","        218.00","        214.10","        215.10","        209.20","        214.00","        213.30","        212.05","    4345939","           921576684.90","      41805"
"ONGC","EQ","21-Jan-2016","        213.30","        213.65","        214.75","        205.95","        206.20","        207.30","        208.78","    5919729","          1235894891.20","      52840"
"ONGC","EQ","22-Jan-2016","        207.30","        211.95","        217.00","        209.80","        216.30","        216.25","        214.05","    4835825","          1035125094.10","      58816"
"ONGC","EQ","25-Jan-2016","        216.25","        220.40","        221.25","        216.55","        219.80","        219.65","        219.30","    3242696","           711130600.55","      36403"
"ONGC","EQ","27-Jan-2016","        219.65","        219.70","        221.75","        217.00","        218.50","        218.40","        219.99","    4496043","           989100287.70","      37721"
"ONGC","EQ","28-Jan-2016","        218.40","        218.00","        220.80","        215.25","        219.30","        219.90","        218.94","    5840671","          1278745845.00","      32217"
"ONGC","EQ","29-Jan-2016","        219.90","        221.30","        227.85","        221.00","        225.50","        226.25","        225.21","    8506493","          1915732875.45","      46345"
"ONGC","EQ","01-Feb-2016","        226.25","        227.80","        227.80","        221.55","        224.75","        225.05","        224.13","    2548494","           571203531.45","      49275"
