"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SUNPHARMA","EQ","01-Jan-2016","        820.15","        810.05","        817.90","        806.20","        813.75","        815.55","        813.33","     986728","           802531605.60","      19355"
"SUNPHARMA","EQ","04-Jan-2016","        815.55","        813.90","        821.30","        795.10","        797.80","        799.10","        804.07","    2388588","          1920584470.65","      85014"
"SUNPHARMA","EQ","05-Jan-2016","        799.10","        807.00","        807.00","        792.05","        800.75","        800.50","        800.47","    1632394","          1306676322.85","      73398"
"SUNPHARMA","EQ","06-Jan-2016","        800.50","        805.00","        805.80","        790.75","        791.45","        791.95","        795.73","    2168214","          1725306580.00","      51865"
"SUNPHARMA","EQ","07-Jan-2016","        791.95","        788.00","        799.00","        778.65","        786.70","        783.80","        785.52","    2082334","          1635706640.75","      49345"
"SUNPHARMA","EQ","08-Jan-2016","        783.80","        795.00","        805.80","        786.00","        792.20","        794.15","        795.56","    2315237","          1841919465.35","      71528"
"SUNPHARMA","EQ","11-Jan-2016","        794.15","        789.50","        804.50","        779.10","        784.00","        782.25","        789.10","    3424538","          2702302705.30","      94688"
"SUNPHARMA","EQ","12-Jan-2016","        782.25","        784.00","        794.00","        784.00","        788.00","        788.15","        788.70","    1787888","          1410104947.55","      64716"
"SUNPHARMA","EQ","13-Jan-2016","        788.15","        795.00","        804.65","        781.50","        799.75","        796.60","        795.07","    3447651","          2741111470.65","      74860"
"SUNPHARMA","EQ","14-Jan-2016","        796.60","        789.80","        796.40","        785.70","        792.50","        791.85","        791.24","    3233849","          2558740657.80","      66490"
"SUNPHARMA","EQ","15-Jan-2016","        791.85","        797.75","        799.00","        780.20","        790.90","        787.10","        788.47","    2370237","          1868851183.95","      59599"
"SUNPHARMA","EQ","18-Jan-2016","        787.10","        787.00","        797.50","        775.00","        784.60","        784.95","        787.42","    4202772","          3309331697.65","     136571"
"SUNPHARMA","EQ","19-Jan-2016","        784.95","        786.00","        796.80","        781.25","        793.90","        793.90","        790.77","    2169752","          1715783307.00","      54350"
"SUNPHARMA","EQ","20-Jan-2016","        793.90","        785.50","        805.00","        775.60","        794.80","        792.60","        791.73","    4222563","          3343115774.55","     106107"
"SUNPHARMA","EQ","21-Jan-2016","        792.60","        800.00","        803.40","        764.00","        772.15","        773.15","        782.31","    3264178","          2553607418.70","      66042"
"SUNPHARMA","EQ","22-Jan-2016","        773.15","        779.00","        794.00","        773.30","        789.25","        789.20","        785.57","    1970106","          1547657639.90","      57056"
"SUNPHARMA","EQ","25-Jan-2016","        789.20","        795.00","        814.90","        794.45","        807.90","        807.25","        807.42","    2905098","          2345631007.80","      95555"
"SUNPHARMA","EQ","27-Jan-2016","        807.25","        817.00","        823.25","        809.30","        819.30","        821.15","        818.72","    3609838","          2955430555.45","      88739"
"SUNPHARMA","EQ","28-Jan-2016","        821.15","        817.00","        836.80","        817.00","        833.85","        834.15","        831.29","    4368190","          3631253521.90","     106338"
"SUNPHARMA","EQ","29-Jan-2016","        834.15","        843.00","        878.00","        839.10","        878.00","        872.95","        862.62","    4709689","          4062684528.70","     110690"
"SUNPHARMA","EQ","01-Feb-2016","        872.95","        880.80","        888.30","        861.90","        872.75","        872.30","        874.03","    3252050","          2842402328.35","      92038"
"SUNPHARMA","EQ","02-Feb-2016","        872.30","        879.85","        883.35","        831.10","        837.45","        835.15","        852.91","    2676955","          2283200120.05","      63848"
