"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","01-Jan-2016","        391.30","        392.50","        403.00","        373.00","        401.80","        401.90","        398.24","    4377363","          1743245783.55","      44132"
"TATAMOTORS","EQ","04-Jan-2016","        401.90","        400.00","        400.10","        375.05","        376.15","        377.05","        383.74","    7822660","          3001899664.45","      98407"
"TATAMOTORS","EQ","05-Jan-2016","        377.05","        381.05","        382.45","        372.10","        373.00","        374.45","        377.36","    6901068","          2604167529.10","      85155"
"TATAMOTORS","EQ","06-Jan-2016","        374.45","        374.25","        375.50","        364.60","        365.00","        365.90","        370.04","    7211230","          2668409641.05","      94107"
"TATAMOTORS","EQ","07-Jan-2016","        365.90","        356.25","        358.00","        338.10","        344.80","        343.55","        347.83","   11782307","          4098190192.85","     151305"
"TATAMOTORS","EQ","08-Jan-2016","        343.55","        345.60","        355.85","        345.60","        353.90","        353.35","        351.97","    8770370","          3086909728.70","      94306"
"TATAMOTORS","EQ","11-Jan-2016","        353.35","        343.90","        364.75","        341.65","        360.45","        360.20","        357.29","   10576721","          3778927411.95","     102634"
"TATAMOTORS","EQ","12-Jan-2016","        360.20","        362.70","        363.95","        351.60","        355.40","        355.00","        356.36","    8363062","          2980240755.55","      93086"
"TATAMOTORS","EQ","13-Jan-2016","        355.00","        360.45","        369.80","        356.30","        363.00","        364.60","        362.64","   14191511","          5146417256.60","     143638"
"TATAMOTORS","EQ","14-Jan-2016","        364.60","        356.10","        359.40","        346.80","        353.80","        354.30","        353.04","   10673343","          3768066472.70","     124785"
"TATAMOTORS","EQ","15-Jan-2016","        354.30","        353.90","        353.90","        339.35","        340.70","        341.30","        347.35","    6557584","          2277785214.85","      63497"
"TATAMOTORS","EQ","18-Jan-2016","        341.30","        341.00","        343.30","        334.40","        340.50","        340.20","        339.29","    6285144","          2132457170.60","      67853"
"TATAMOTORS","EQ","19-Jan-2016","        340.20","        343.00","        357.20","        342.00","        354.25","        354.15","        351.19","    7304555","          2565279292.60","      77450"
"TATAMOTORS","EQ","20-Jan-2016","        354.15","        349.65","        349.65","        338.80","        341.90","        342.25","        343.31","    9156596","          3143593476.70","      94482"
"TATAMOTORS","EQ","21-Jan-2016","        342.25","        340.65","        344.15","        323.00","        327.60","        328.55","        330.92","   16524035","          5468131177.90","     149035"
"TATAMOTORS","EQ","22-Jan-2016","        328.55","        335.50","        345.90","        331.50","        339.65","        339.50","        338.81","    9595392","          3251057157.20","     102494"
"TATAMOTORS","EQ","25-Jan-2016","        339.50","        345.50","        345.50","        331.15","        333.60","        332.60","        338.90","    6106931","          2069632852.25","      88259"
"TATAMOTORS","EQ","27-Jan-2016","        332.60","        338.00","        341.00","        333.20","        336.90","        337.05","        337.70","    8333202","          2814138079.75","      79518"
"TATAMOTORS","EQ","28-Jan-2016","        337.05","        336.30","        341.40","        332.30","        333.85","        334.20","        335.31","   13153617","          4410479188.20","      87267"
"TATAMOTORS","EQ","29-Jan-2016","        334.20","        332.00","        340.60","        324.20","        336.90","        336.90","        334.46","   10350998","          3462041237.50","     110669"
"TATAMOTORS","EQ","01-Feb-2016","        336.90","        338.75","        342.40","        332.25","        335.25","        338.50","        337.69","    6563774","          2216535914.35","      69594"
"TATAMOTORS","EQ","02-Feb-2016","        338.50","        343.80","        344.70","        327.70","        329.00","        329.55","        336.62","    9179304","          3089960402.75","     111160"
"TATAMOTORS","EQ","03-Feb-2016","        329.55","        325.55","        325.95","        317.05","        320.95","        320.30","        321.17","    6685445","          2147138625.65","      93400"
"TATAMOTORS","EQ","04-Feb-2016","        320.30","        325.30","        329.30","        321.20","        327.05","        325.50","        325.79","    6086981","          1983074734.30","      91156"
"TATAMOTORS","EQ","05-Feb-2016","        325.50","        330.50","        339.00","        326.65","        336.70","        337.10","        333.64","    9236577","          3081712197.10","     123929"
"TATAMOTORS","EQ","08-Feb-2016","        337.10","        334.95","        334.95","        321.35","        322.45","        323.50","        328.82","    6974342","          2293290572.30","      85772"
"TATAMOTORS","EQ","09-Feb-2016","        323.50","        319.50","        322.65","        308.80","        311.05","        310.65","        315.09","   12489713","          3935422389.55","     186452"
"TATAMOTORS","EQ","10-Feb-2016","        310.65","        309.85","        309.95","        288.25","        288.70","        291.55","        296.13","   21756193","          6442687119.75","     213764"
"TATAMOTORS","EQ","11-Feb-2016","        291.55","        298.50","        300.00","        265.80","        271.30","        276.35","        286.23","   21632886","          6191986128.65","     183602"
"TATAMOTORS","EQ","12-Feb-2016","        276.35","        281.00","        303.95","        271.60","        296.05","        298.35","        289.45","   21542152","          6235428493.55","     232099"
"TATAMOTORS","EQ","15-Feb-2016","        298.35","        297.90","        320.75","        297.70","        316.05","        317.25","        312.33","   18888699","          5899487907.15","     207165"
"TATAMOTORS","EQ","16-Feb-2016","        317.25","        319.40","        324.20","        298.90","        301.80","        301.15","        312.46","   13598374","          4248887884.95","     151955"
"TATAMOTORS","EQ","17-Feb-2016","        301.15","        302.95","        313.50","        298.65","        312.10","        310.15","        305.90","   13717526","          4196137895.80","     126449"
"TATAMOTORS","EQ","18-Feb-2016","        310.15","        315.15","        319.10","        306.20","        312.15","        314.00","        313.86","   12498247","          3922759418.45","     194648"
"TATAMOTORS","EQ","19-Feb-2016","        314.00","        312.10","        320.00","        311.10","        318.05","        318.20","        315.54","    7706462","          2431659393.65","      89924"
"TATAMOTORS","EQ","22-Feb-2016","        318.20","        320.00","        324.20","        313.60","        319.80","        318.85","        318.05","    8699779","          2766945427.10","     110227"
"TATAMOTORS","EQ","23-Feb-2016","        318.85","        324.00","        324.75","        314.45","        317.50","        318.55","        318.20","   11635881","          3702513927.05","     125251"
"TATAMOTORS","EQ","24-Feb-2016","        318.55","        316.00","        316.00","        304.75","        306.55","        306.30","        309.19","    7629905","          2359103428.95","      96807"
"TATAMOTORS","EQ","25-Feb-2016","        306.30","        309.80","        312.20","        296.20","        299.70","        298.20","        303.10","   12959812","          3928138651.40","     107446"
"TATAMOTORS","EQ","26-Feb-2016","        298.20","        303.20","        305.20","        297.60","        302.25","        301.80","        301.28","    9181680","          2766223509.70","      77802"
"TATAMOTORS","EQ","29-Feb-2016","        301.80","        303.20","        305.75","        290.25","        300.00","        299.70","        300.18","   12607181","          3784469911.95","     117824"
"TATAMOTORS","EQ","01-Mar-2016","        299.70","        301.10","        317.00","        301.10","        315.00","        315.35","        309.66","   11440045","          3542502719.25","     121563"
"TATAMOTORS","EQ","02-Mar-2016","        315.35","        322.90","        326.00","        314.35","        316.55","        317.10","        320.81","   12418149","          3983874902.80","     149616"
"TATAMOTORS","EQ","03-Mar-2016","        317.10","        324.50","        339.80","        321.50","        337.00","        336.70","        331.85","   12844057","          4262265334.00","     156733"
"TATAMOTORS","EQ","04-Mar-2016","        336.70","        340.15","        348.75","        338.65","        343.45","        343.50","        344.20","    8197520","          2821562337.85","     112411"
"TATAMOTORS","EQ","08-Mar-2016","        343.50","        346.50","        353.75","        341.50","        345.50","        346.05","        347.53","    7888999","          2741665867.10","      89966"
"TATAMOTORS","EQ","09-Mar-2016","        346.05","        339.90","        349.00","        336.00","        347.75","        347.70","        343.33","    6383925","          2191801852.40","      79926"
"TATAMOTORS","EQ","10-Mar-2016","        347.70","        347.00","        353.60","        341.40","        348.20","        348.50","        347.80","    7443048","          2588712313.35","      75453"
"TATAMOTORS","EQ","11-Mar-2016","        348.50","        348.50","        355.90","        345.15","        353.35","        354.25","        350.40","    7641330","          2677532365.50","      95835"
"TATAMOTORS","EQ","14-Mar-2016","        354.25","        359.90","        370.55","        358.95","        365.50","        366.45","        366.41","   13066837","          4787830891.75","     125898"
"TATAMOTORS","EQ","15-Mar-2016","        366.45","        366.90","        370.70","        359.55","        361.20","        360.40","        363.79","    9800731","          3565450813.70","     105988"
"TATAMOTORS","EQ","16-Mar-2016","        360.40","        359.95","        362.75","        353.30","        362.00","        359.55","        357.53","    7554537","          2700966415.50","      86141"
"TATAMOTORS","EQ","17-Mar-2016","        359.55","        366.90","        367.40","        358.60","        359.50","        360.90","        363.54","    6914296","          2513595483.20","      80395"
"TATAMOTORS","EQ","18-Mar-2016","        360.90","        362.50","        367.80","        362.50","        366.05","        366.05","        365.33","    6594019","          2409004384.70","      69743"
"TATAMOTORS","EQ","21-Mar-2016","        366.05","        367.25","        375.50","        365.75","        374.85","        374.70","        371.35","    9325793","          3463154601.40","     124058"
"TATAMOTORS","EQ","22-Mar-2016","        374.70","        376.95","        381.50","        370.40","        376.00","        377.20","        376.28","    8909026","          3352319119.95","     128918"
"TATAMOTORS","EQ","23-Mar-2016","        377.20","        378.00","        379.45","        374.05","        376.00","        377.00","        376.74","    5766182","          2172356144.85","      98825"
"TATAMOTORS","EQ","28-Mar-2016","        377.00","        375.50","        375.50","        361.50","        364.00","        363.30","        368.20","    8062793","          2968744549.55","      76005"
"TATAMOTORS","EQ","29-Mar-2016","        363.30","        364.00","        378.95","        363.05","        371.65","        372.45","        372.03","    9364810","          3484029966.40","     115670"
"TATAMOTORS","EQ","30-Mar-2016","        372.45","        380.50","        391.50","        376.80","        391.10","        388.60","        383.25","   10295891","          3945907239.95","     126689"
"TATAMOTORS","EQ","31-Mar-2016","        388.60","        387.90","        393.60","        380.50","        388.70","        386.60","        387.94","   10738707","          4165952832.60","     115837"
"TATAMOTORS","EQ","01-Apr-2016","        386.60","        386.40","        386.40","        377.70","        380.15","        379.65","        380.66","    5683771","          2163561151.65","      62111"
"TATAMOTORS","EQ","04-Apr-2016","        379.65","        385.95","        391.00","        382.40","        387.40","        388.40","        387.25","    6011729","          2328038453.30","      96258"
"TATAMOTORS","EQ","05-Apr-2016","        388.40","        386.00","        386.00","        369.00","        370.05","        370.50","        377.62","    6058241","          2287710483.50","      89624"
"TATAMOTORS","EQ","06-Apr-2016","        370.50","        373.70","        382.40","        372.05","        376.25","        376.70","        378.00","    7323269","          2768164576.40","      88551"
"TATAMOTORS","EQ","07-Apr-2016","        376.70","        375.95","        384.80","        370.30","        375.20","        375.20","        377.63","    8724110","          3294463129.85","     115339"
"TATAMOTORS","EQ","08-Apr-2016","        375.20","        375.50","        380.05","        370.50","        371.60","        371.45","        374.60","    4860484","          1820726699.70","      66676"
"TATAMOTORS","EQ","11-Apr-2016","        371.45","        373.95","        387.80","        373.90","        386.00","        386.65","        381.14","    6827449","          2602205795.65","      92223"
"TATAMOTORS","EQ","12-Apr-2016","        386.65","        387.95","        397.40","        387.15","        395.50","        395.80","        393.05","    7702684","          3027549941.80","     105900"
"TATAMOTORS","EQ","13-Apr-2016","        395.80","        400.00","        411.75","        398.15","        408.65","        408.75","        407.13","   12373115","          5037443990.90","     168964"
"TATAMOTORS","EQ","18-Apr-2016","        408.75","        407.65","        409.90","        402.50","        407.00","        407.35","        406.23","    5571076","          2263116756.50","      77253"
"TATAMOTORS","EQ","20-Apr-2016","        407.35","        407.00","        410.35","        400.65","        403.85","        404.10","        405.83","    7589901","          3080243737.20","     100611"
"TATAMOTORS","EQ","21-Apr-2016","        404.10","        408.70","        417.20","        406.00","        410.50","        411.50","        411.43","    9211869","          3790068646.45","     111112"
"TATAMOTORS","EQ","22-Apr-2016","        411.50","        412.10","        420.50","        408.00","        417.10","        417.00","        416.08","    5995998","          2494804238.35","      75965"
"TATAMOTORS","EQ","25-Apr-2016","        417.00","        417.60","        417.60","        410.00","        412.00","        412.20","        412.76","    3272996","          1350953355.85","      63481"
"TATAMOTORS","EQ","26-Apr-2016","        412.20","        408.65","        423.65","        405.05","        418.35","        419.05","        416.78","    6998505","          2916830580.80","     106925"
"TATAMOTORS","EQ","27-Apr-2016","        419.05","        418.95","        425.25","        414.65","        419.10","        418.55","        420.75","    6227941","          2620408235.70","      95959"
"TATAMOTORS","EQ","28-Apr-2016","        418.55","        418.80","        420.95","        409.70","        410.45","        411.35","        413.77","    7546101","          3122376408.40","     150016"
"TATAMOTORS","EQ","29-Apr-2016","        411.35","        410.00","        413.70","        403.05","        408.10","        408.35","        407.72","    6251095","          2548713443.55","     104590"
"TATAMOTORS","EQ","02-May-2016","        408.35","        407.95","        410.45","        402.50","        408.20","        407.70","        406.96","    4178821","          1700632782.15","      57962"
"TATAMOTORS","EQ","03-May-2016","        407.70","        410.90","        422.00","        407.80","        408.85","        409.65","        415.54","    9620804","          3997866699.80","     104175"
"TATAMOTORS","EQ","04-May-2016","        409.65","        405.50","        405.50","        380.10","        383.15","        381.80","        389.08","   12069134","          4695882346.70","     136649"
"TATAMOTORS","EQ","05-May-2016","        381.80","        384.00","        396.05","        383.15","        389.70","        391.15","        391.17","    9601341","          3755759880.85","      97494"
"TATAMOTORS","EQ","06-May-2016","        391.15","        388.60","        400.90","        384.50","        397.60","        398.70","        392.37","    9953672","          3905565969.90","     113433"
"TATAMOTORS","EQ","09-May-2016","        398.70","        400.35","        405.20","        395.15","        402.65","        403.35","        400.62","    8700283","          3485501074.95","     103866"
"TATAMOTORS","EQ","10-May-2016","        403.35","        400.80","        400.80","        387.15","        389.95","        388.95","        390.89","    9166453","          3583065896.10","     122990"
"TATAMOTORS","EQ","11-May-2016","        388.95","        384.80","        391.95","        376.10","        380.40","        379.85","        383.75","   11595875","          4449969068.70","     131335"
"TATAMOTORS","EQ","12-May-2016","        379.85","        379.00","        388.60","        379.00","        387.00","        387.05","        385.58","    6506343","          2508710558.20","      72505"
"TATAMOTORS","EQ","13-May-2016","        387.05","        391.25","        394.00","        385.50","        389.50","        389.95","        390.35","   14027896","          5475843915.75","     146771"
"TATAMOTORS","EQ","16-May-2016","        389.95","        393.80","        396.70","        389.00","        390.75","        392.70","        393.22","    8248193","          3243327646.40","      87893"
"TATAMOTORS","EQ","17-May-2016","        392.70","        392.60","        395.00","        386.60","        389.50","        389.70","        391.45","    9425555","          3689604099.15","      90601"
"TATAMOTORS","EQ","18-May-2016","        389.70","        383.50","        387.35","        381.60","        384.75","        384.85","        384.67","    8589315","          3304074476.85","      93580"
"TATAMOTORS","EQ","19-May-2016","        384.85","        386.25","        393.30","        381.95","        384.65","        386.90","        389.66","   10988676","          4281792708.90","      87631"
"TATAMOTORS","EQ","20-May-2016","        386.90","        386.70","        392.70","        383.50","        384.00","        384.45","        388.82","    6537509","          2541941968.85","      72726"
"TATAMOTORS","EQ","23-May-2016","        384.45","        388.55","        389.95","        380.10","        383.30","        381.75","        386.20","    8153090","          3148755710.80","      89566"
"TATAMOTORS","EQ","24-May-2016","        381.75","        383.80","        391.75","        382.65","        389.00","        389.10","        389.07","   10568106","          4111694018.60","      91891"
"TATAMOTORS","EQ","25-May-2016","        389.10","        394.00","        399.95","        394.00","        396.55","        397.00","        397.32","    8897382","          3535066099.30","      95924"
"TATAMOTORS","EQ","26-May-2016","        397.00","        400.50","        402.00","        396.75","        400.00","        399.25","        399.26","    8469732","          3381592729.30","      89195"
"TATAMOTORS","EQ","27-May-2016","        399.25","        400.00","        405.00","        396.00","        403.10","        403.90","        401.07","    9035525","          3623856122.10","      82737"
"TATAMOTORS","EQ","30-May-2016","        403.90","        404.80","        423.60","        401.30","        423.00","        421.25","        415.18","   15767133","          6546205691.20","     186242"
"TATAMOTORS","EQ","31-May-2016","        421.25","        456.00","        464.90","        445.00","        455.60","        459.65","        457.17","  110744326","         50629434632.80","     438702"
"TATAMOTORS","EQ","01-Jun-2016","        459.65","        455.75","        458.30","        445.00","        446.80","        449.20","        452.70","   10389215","          4703223677.95","     140757"
"TATAMOTORS","EQ","02-Jun-2016","        449.20","        444.10","        460.50","        444.10","        453.00","        453.45","        454.99","   13674434","          6221681916.65","     147002"
"TATAMOTORS","EQ","03-Jun-2016","        453.45","        458.05","        461.80","        452.50","        452.55","        453.95","        457.01","   11672544","          5334479479.45","     110388"
"TATAMOTORS","EQ","06-Jun-2016","        453.95","        457.80","        465.00","        450.20","        462.55","        460.50","        456.15","    9356808","          4268077962.35","     117496"
"TATAMOTORS","EQ","07-Jun-2016","        460.50","        466.45","        466.45","        459.00","        463.20","        463.05","        462.35","   12568902","          5811261722.25","     119943"
"TATAMOTORS","EQ","08-Jun-2016","        463.05","        465.50","        468.80","        463.20","        465.00","        466.15","        465.59","   10467158","          4873377957.40","      82424"
"TATAMOTORS","EQ","09-Jun-2016","        466.15","        469.45","        470.25","        465.00","        467.00","        467.15","        467.17","    8525017","          3982604636.10","      73094"
"TATAMOTORS","EQ","10-Jun-2016","        467.15","        466.75","        466.75","        454.50","        457.40","        456.95","        460.95","    7039858","          3245054592.10","      90106"
"TATAMOTORS","EQ","13-Jun-2016","        456.95","        451.00","        451.40","        436.70","        444.55","        444.25","        442.07","    9507282","          4202843408.45","      92197"
"TATAMOTORS","EQ","14-Jun-2016","        444.25","        446.90","        453.85","        441.15","        448.70","        448.40","        448.85","    9615226","          4315751974.95","     134160"
"TATAMOTORS","EQ","15-Jun-2016","        448.40","        449.90","        453.00","        447.25","        451.55","        452.10","        450.48","    5704865","          2569932489.45","      71444"
"TATAMOTORS","EQ","16-Jun-2016","        452.10","        449.70","        455.50","        446.05","        453.90","        454.35","        450.51","    7255454","          3268647425.60","     107017"
"TATAMOTORS","EQ","17-Jun-2016","        454.35","        461.00","        465.75","        457.30","        463.65","        464.40","        462.54","    7836702","          3624826109.35","     128797"
"TATAMOTORS","EQ","20-Jun-2016","        464.40","        464.75","        484.20","        460.25","        482.60","        482.05","        473.11","    9261350","          4381666005.20","     104212"
"TATAMOTORS","EQ","21-Jun-2016","        482.05","        484.00","        486.20","        477.60","        484.30","        484.90","        482.43","    8907801","          4297416241.65","      95613"
"TATAMOTORS","EQ","22-Jun-2016","        484.90","        483.05","        484.80","        468.05","        472.00","        472.70","        473.70","    7660165","          3628622070.10","      96495"
"TATAMOTORS","EQ","23-Jun-2016","        472.70","        476.10","        489.90","        476.10","        487.75","        487.95","        483.17","    9628216","          4652020903.20","     131019"
"TATAMOTORS","EQ","24-Jun-2016","        487.95","        439.20","        453.75","        421.25","        447.70","        449.40","        439.30","   40998600","         18010652362.85","     330936"
"TATAMOTORS","EQ","27-Jun-2016","        449.40","        451.80","        457.25","        443.60","        447.95","        448.95","        448.82","   12450283","          5587920652.45","     128652"
"TATAMOTORS","EQ","28-Jun-2016","        448.95","        448.00","        448.00","        433.00","        441.00","        440.40","        441.08","   10190394","          4494815903.60","     128902"
