"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATASTEEL","EQ","01-Jan-2016","        259.80","        259.00","        259.90","        253.40","        257.30","        257.40","        256.52","    3151567","           808438863.35","      26006"
"TATASTEEL","EQ","04-Jan-2016","        257.40","        255.00","        263.20","        253.10","        259.00","        256.90","        258.07","    6981400","          1801707718.45","      54636"
"TATASTEEL","EQ","05-Jan-2016","        256.90","        257.55","        276.40","        257.55","        272.70","        274.30","        270.04","   15008921","          4053014352.85","     121198"
"TATASTEEL","EQ","06-Jan-2016","        274.30","        272.80","        274.60","        266.00","        268.75","        268.75","        270.19","    7454725","          2014228010.55","      74296"
"TATASTEEL","EQ","07-Jan-2016","        268.75","        263.00","        263.30","        248.20","        251.00","        249.90","        255.13","    9503720","          2424659625.55","      83133"
"TATASTEEL","EQ","08-Jan-2016","        249.90","        252.00","        256.30","        249.05","        254.55","        253.60","        253.17","    6299465","          1594859684.70","      70345"
"TATASTEEL","EQ","11-Jan-2016","        253.60","        247.00","        253.35","        244.25","        252.90","        251.65","        249.03","    6085363","          1515429991.30","      56078"
"TATASTEEL","EQ","12-Jan-2016","        251.65","        253.05","        255.30","        243.15","        245.55","        245.75","        248.57","    5425352","          1348556202.10","      50211"
"TATASTEEL","EQ","13-Jan-2016","        245.75","        248.50","        251.80","        237.00","        246.35","        246.60","        244.80","    7482478","          1831684848.40","      63311"
"TATASTEEL","EQ","14-Jan-2016","        246.60","        235.00","        242.55","        231.50","        239.45","        238.75","        237.54","    8884802","          2110490501.85","      71899"
"TATASTEEL","EQ","15-Jan-2016","        238.75","        242.50","        243.00","        228.10","        229.50","        229.70","        235.44","    5991645","          1410686433.40","      53980"
"TATASTEEL","EQ","18-Jan-2016","        229.70","        229.80","        244.00","        225.20","        237.40","        235.90","        235.31","    8417421","          1980729415.10","      68248"
"TATASTEEL","EQ","19-Jan-2016","        235.90","        237.55","        240.95","        231.25","        237.45","        238.00","        236.47","    6304102","          1490706486.40","      59826"
"TATASTEEL","EQ","20-Jan-2016","        238.00","        232.80","        234.00","        226.50","        232.20","        232.00","        230.61","    5486812","          1265317390.65","      46955"
"TATASTEEL","EQ","21-Jan-2016","        232.00","        234.70","        239.35","        231.25","        236.10","        235.60","        235.61","    6245316","          1471457916.75","      53883"
"TATASTEEL","EQ","22-Jan-2016","        235.60","        238.30","        250.80","        237.65","        247.70","        247.80","        245.03","    6510761","          1595326323.55","     103375"
"TATASTEEL","EQ","25-Jan-2016","        247.80","        249.00","        256.40","        248.80","        255.05","        254.90","        253.62","    5576543","          1414327939.40","      61284"
"TATASTEEL","EQ","27-Jan-2016","        254.90","        255.00","        259.90","        253.40","        256.65","        257.60","        256.80","    6235665","          1601344467.80","      59347"
"TATASTEEL","EQ","28-Jan-2016","        257.60","        257.00","        258.45","        252.40","        254.00","        254.20","        254.95","    6016704","          1533945497.75","      43982"
"TATASTEEL","EQ","29-Jan-2016","        254.20","        254.65","        258.80","        247.45","        248.35","        249.70","        252.91","    6747965","          1706639761.65","      49299"
"TATASTEEL","EQ","01-Feb-2016","        249.70","        248.90","        254.95","        246.50","        248.95","        249.30","        251.22","    4420717","          1110589432.10","      40819"
"TATASTEEL","EQ","02-Feb-2016","        249.30","        250.25","        251.00","        230.10","        230.20","        231.45","        237.82","    8388473","          1994960282.35","      74173"
"TATASTEEL","EQ","03-Feb-2016","        231.45","        227.90","        233.90","        221.45","        222.50","        224.00","        228.12","    7791522","          1777430936.90","      67232"
"TATASTEEL","EQ","04-Feb-2016","        224.00","        224.40","        228.60","        219.00","        227.70","        225.95","        222.82","   11709422","          2609070139.65","     101475"
"TATASTEEL","EQ","05-Feb-2016","        225.95","        216.00","        238.30","        216.00","        235.75","        233.85","        225.72","   25803399","          5824304617.15","     187555"
"TATASTEEL","EQ","08-Feb-2016","        233.85","        238.60","        243.95","        232.05","        235.00","        234.10","        237.11","   10332441","          2449919864.20","      87660"
"TATASTEEL","EQ","09-Feb-2016","        234.10","        230.90","        237.30","        230.10","        236.80","        235.50","        234.24","    7562851","          1771497033.90","      61391"
"TATASTEEL","EQ","10-Feb-2016","        235.50","        234.85","        237.75","        227.10","        237.00","        235.70","        232.33","    7616029","          1769462491.80","      67863"
"TATASTEEL","EQ","11-Feb-2016","        235.70","        235.95","        237.30","        220.85","        225.50","        224.50","        228.74","    6151670","          1407157877.85","      48325"
