"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"COALINDIA","EQ","02-Jan-2017","        300.00","        300.05","        302.65","        297.00","        300.05","        300.05","        299.47","    1729563","           517947232.35","      16634"
"COALINDIA","EQ","03-Jan-2017","        300.05","        301.00","        307.30","        299.50","        307.00","        305.30","        303.84","    1459916","           443586815.00","      24624"
"COALINDIA","EQ","04-Jan-2017","        305.30","        306.00","        310.00","        305.45","        307.30","        306.15","        307.74","    1954806","           601580388.85","      46705"
"COALINDIA","EQ","05-Jan-2017","        306.15","        307.10","        311.40","        306.60","        308.00","        308.30","        309.09","    1845973","           570569487.00","      58066"
"COALINDIA","EQ","06-Jan-2017","        308.30","        309.00","        310.55","        305.00","        305.50","        306.20","        307.99","     940177","           289560996.00","      15140"
"COALINDIA","EQ","09-Jan-2017","        306.20","        305.85","        305.95","        299.60","        300.10","        300.00","        301.25","    1947858","           586799480.20","      28065"
"COALINDIA","EQ","10-Jan-2017","        300.00","        301.05","        303.25","        299.10","        301.00","        300.60","        300.84","    1455309","           437812169.75","      27680"
"COALINDIA","EQ","11-Jan-2017","        300.60","        301.60","        318.00","        301.60","        317.70","        316.85","        313.17","    7657690","          2398143141.55","      86078"
"COALINDIA","EQ","12-Jan-2017","        316.85","        318.00","        318.65","        310.50","        313.05","        313.20","        312.50","    2316891","           724018566.10","      40288"
"COALINDIA","EQ","13-Jan-2017","        313.20","        316.00","        319.30","        313.55","        314.75","        315.00","        315.58","    3458448","          1091417988.00","      46228"
"COALINDIA","EQ","16-Jan-2017","        315.00","        319.00","        319.00","        310.35","        313.55","        313.80","        314.32","    3866192","          1215221538.00","      60561"
"COALINDIA","EQ","17-Jan-2017","        313.80","        314.55","        315.45","        306.05","        307.35","        307.00","        308.62","    3759649","          1160314818.95","      50176"
"COALINDIA","EQ","18-Jan-2017","        307.00","        304.80","        309.80","        304.55","        309.30","        308.70","        307.70","    3680888","          1132611495.20","      43716"
"COALINDIA","EQ","19-Jan-2017","        308.70","        309.00","        310.45","        306.60","        307.50","        307.35","        308.20","    2434032","           750179325.95","      37948"
"COALINDIA","EQ","20-Jan-2017","        307.35","        307.00","        308.35","        302.45","        303.80","        303.70","        304.42","    3784930","          1152204042.45","      53943"
"COALINDIA","EQ","23-Jan-2017","        303.70","        303.90","        306.20","        302.55","        303.90","        303.40","        304.00","    1855848","           564170264.85","      46736"
"COALINDIA","EQ","24-Jan-2017","        303.40","        304.50","        310.75","        303.60","        309.45","        309.45","        309.01","    2508724","           775229589.40","      33839"
"COALINDIA","EQ","25-Jan-2017","        309.45","        309.80","        319.00","        307.50","        317.10","        317.20","        314.80","    5594608","          1761177561.95","      38466"
"COALINDIA","EQ","27-Jan-2017","        317.20","        318.00","        320.40","        316.00","        318.30","        317.75","        318.31","    2607499","           829985760.00","      36463"
"COALINDIA","EQ","30-Jan-2017","        317.75","        316.60","        317.55","        313.40","        315.55","        314.70","        314.68","    1713746","           539284739.50","      19207"
"COALINDIA","EQ","31-Jan-2017","        314.70","        313.40","        314.35","        303.00","        309.10","        309.20","        307.50","   17232981","          5299107168.55","      79247"
"COALINDIA","EQ","01-Feb-2017","        309.20","        310.00","        313.70","        306.30","        313.20","        313.05","        311.15","    3168177","           985775966.25","      26193"
"COALINDIA","EQ","02-Feb-2017","        313.05","        311.40","        322.80","        308.75","        320.60","        320.45","        316.75","    3723534","          1179419597.40","      41621"
"COALINDIA","EQ","03-Feb-2017","        320.45","        320.45","        326.90","        320.45","        326.50","        326.15","        324.38","    3778609","          1225718022.80","      32322"
"COALINDIA","EQ","06-Feb-2017","        326.15","        326.00","        329.00","        322.40","        324.50","        325.05","        324.58","    1934568","           627931390.30","      38361"
"COALINDIA","EQ","07-Feb-2017","        325.05","        326.00","        326.50","        310.55","        317.50","        315.05","        316.89","    5669911","          1796720909.15","      61316"
"COALINDIA","EQ","08-Feb-2017","        315.05","        313.00","        322.50","        313.00","        321.40","        321.75","        318.76","    4346528","          1385512175.40","      49411"
"COALINDIA","EQ","09-Feb-2017","        321.75","        322.10","        325.00","        318.20","        322.00","        322.15","        321.39","    2390829","           768394885.30","      26787"
"COALINDIA","EQ","10-Feb-2017","        322.15","        324.00","        325.25","        321.40","        324.65","        324.50","        323.61","    2168081","           701610343.00","      26811"
"COALINDIA","EQ","13-Feb-2017","        324.50","        318.00","        321.50","        314.80","        321.00","        320.90","        319.03","    4142829","          1321684882.40","      46556"
"COALINDIA","EQ","14-Feb-2017","        320.90","        319.00","        320.70","        315.25","        320.00","        320.20","        318.28","    2050709","           652696782.55","      38301"
"COALINDIA","EQ","15-Feb-2017","        320.20","        320.95","        322.80","        317.25","        320.20","        319.95","        319.76","    2649600","           847246952.45","      31301"
"COALINDIA","EQ","16-Feb-2017","        319.95","        317.50","        319.00","        315.80","        317.50","        318.30","        317.94","    2703863","           859667161.30","      34642"
"COALINDIA","EQ","17-Feb-2017","        318.30","        320.00","        320.00","        311.00","        316.50","        316.25","        315.13","    4292500","          1352716272.35","      55917"
"COALINDIA","EQ","20-Feb-2017","        316.25","        316.25","        320.90","        314.10","        320.00","        319.90","        318.89","    2429373","           774708099.80","      30310"
"COALINDIA","EQ","21-Feb-2017","        319.90","        320.50","        321.40","        317.10","        319.25","        319.60","        319.01","    1678198","           535367323.00","      35000"
"COALINDIA","EQ","22-Feb-2017","        319.60","        322.30","        329.70","        320.55","        328.00","        328.35","        326.77","    3479768","          1137072470.45","      60990"
"COALINDIA","EQ","23-Feb-2017","        328.35","        329.60","        332.00","        325.50","        328.50","        327.70","        328.53","    9869639","          3242519754.40","      95947"
"COALINDIA","EQ","27-Feb-2017","        327.70","        330.00","        332.30","        327.70","        330.10","        329.95","        329.43","    5619203","          1851150254.25","      38061"
"COALINDIA","EQ","28-Feb-2017","        329.95","        330.00","        331.40","        320.10","        321.80","        321.90","        322.66","    5247380","          1693142355.65","      64088"
"COALINDIA","EQ","01-Mar-2017","        321.90","        323.00","        324.50","        318.60","        320.30","        320.20","        320.91","    4131446","          1325839459.40","      57617"
"COALINDIA","EQ","02-Mar-2017","        320.20","        318.35","        326.35","        318.35","        321.80","        321.40","        323.79","    4008179","          1297808628.70","      39570"
"COALINDIA","EQ","03-Mar-2017","        321.40","        322.00","        324.40","        320.50","        321.05","        321.25","        321.69","    2402666","           772918796.25","      31537"
