"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HINDALCO","EQ","02-Jan-2017","        155.05","        155.85","        159.75","        154.20","        159.50","        158.85","        156.77","    9537127","          1495166831.20","      41135"
"HINDALCO","EQ","03-Jan-2017","        158.85","        159.85","        161.00","        157.05","        159.20","        158.85","        158.90","    6841113","          1087030035.95","      35841"
"HINDALCO","EQ","04-Jan-2017","        158.85","        158.90","        161.60","        157.45","        158.55","        158.90","        159.62","    7732019","          1234171321.40","      57391"
"HINDALCO","EQ","05-Jan-2017","        158.90","        160.00","        162.65","        159.90","        161.80","        162.00","        161.43","    9921362","          1601563645.15","      56853"
"HINDALCO","EQ","06-Jan-2017","        162.00","        162.45","        163.80","        160.10","        160.85","        160.75","        162.13","    6830935","          1107511201.80","      43525"
"HINDALCO","EQ","09-Jan-2017","        160.75","        161.60","        162.20","        157.65","        157.90","        158.00","        159.42","    6143220","           979349556.70","      40267"
"HINDALCO","EQ","10-Jan-2017","        158.00","        159.15","        165.40","        158.00","        165.05","        164.40","        163.55","   15806841","          2585183154.95","      74727"
"HINDALCO","EQ","11-Jan-2017","        164.40","        167.10","        175.65","        166.45","        174.55","        174.95","        172.29","   24145144","          4159862942.30","     122094"
"HINDALCO","EQ","12-Jan-2017","        174.95","        175.60","        178.60","        172.40","        178.00","        177.00","        175.86","   14225168","          2501662832.95","      61844"
"HINDALCO","EQ","13-Jan-2017","        177.00","        178.80","        178.80","        170.85","        172.10","        172.25","        173.21","   17430533","          3019072920.25","     105300"
"HINDALCO","EQ","16-Jan-2017","        172.25","        172.00","        174.35","        169.90","        172.75","        172.60","        172.58","    9673403","          1669434872.55","      49830"
"HINDALCO","EQ","17-Jan-2017","        172.60","        173.60","        174.80","        169.30","        171.10","        171.05","        171.48","    7373767","          1264430169.75","      39324"
"HINDALCO","EQ","18-Jan-2017","        171.05","        171.80","        177.35","        171.60","        177.15","        177.00","        174.67","   13047979","          2279069201.65","      84940"
"HINDALCO","EQ","19-Jan-2017","        177.00","        176.30","        177.25","        173.50","        175.80","        176.10","        175.62","    8384318","          1472476106.50","      53823"
"HINDALCO","EQ","20-Jan-2017","        176.10","        175.60","        178.35","        169.50","        171.95","        171.65","        174.27","   12034397","          2097265483.80","      66510"
"HINDALCO","EQ","23-Jan-2017","        171.65","        173.00","        182.40","        172.25","        182.05","        181.70","        178.32","   18223180","          3249504851.65","     104966"
