"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","02-Jan-2017","        241.65","        242.00","        242.25","        238.60","        239.95","        240.95","        240.49","    4887504","          1175415482.65","      43776"
"ITC","EQ","03-Jan-2017","        240.95","        240.90","        245.70","        239.25","        242.85","        243.35","        243.84","    7508925","          1830954935.00","      74562"
"ITC","EQ","04-Jan-2017","        243.35","        242.85","        247.00","        240.10","        246.50","        245.45","        243.53","    9310104","          2267311648.60","     125175"
"ITC","EQ","05-Jan-2017","        245.45","        244.50","        247.85","        244.10","        246.50","        246.75","        246.13","    9178665","          2259171130.85","      92634"
"ITC","EQ","06-Jan-2017","        246.75","        247.00","        249.00","        242.20","        242.50","        242.70","        244.39","    8093288","          1977887557.70","      87354"
"ITC","EQ","09-Jan-2017","        242.70","        242.85","        246.60","        242.10","        245.30","        245.85","        245.09","    4854672","          1189849569.75","      59911"
"ITC","EQ","10-Jan-2017","        245.85","        246.00","        249.85","        245.70","        248.05","        248.95","        248.05","   11977335","          2971006003.75","      88441"
"ITC","EQ","11-Jan-2017","        248.95","        249.80","        250.50","        246.60","        247.00","        247.55","        248.98","    7637281","          1901520378.50","      66209"
"ITC","EQ","12-Jan-2017","        247.55","        247.70","        247.70","        244.15","        244.75","        244.65","        245.20","    5601066","          1373368637.65","      45791"
"ITC","EQ","13-Jan-2017","        244.65","        246.00","        251.00","        242.50","        250.10","        249.65","        247.61","    4384819","          1085741425.40","      50376"
"ITC","EQ","16-Jan-2017","        249.65","        249.25","        250.85","        247.10","        249.50","        248.80","        248.34","    4635410","          1151148009.80","      57246"
"ITC","EQ","17-Jan-2017","        248.80","        248.80","        252.30","        248.80","        251.35","        251.95","        251.03","    4811618","          1207847044.85","      37044"
"ITC","EQ","18-Jan-2017","        251.95","        251.60","        254.30","        249.80","        251.20","        250.85","        252.02","    7254738","          1828341418.10","      64995"
"ITC","EQ","19-Jan-2017","        250.85","        249.75","        254.75","        249.55","        254.40","        254.15","        253.33","    9184429","          2326729397.60","      62342"
"ITC","EQ","20-Jan-2017","        254.15","        254.25","        256.30","        253.70","        255.20","        255.40","        255.23","   10843902","          2767729040.95","      64470"
"ITC","EQ","23-Jan-2017","        255.40","        255.10","        260.15","        255.05","        259.65","        259.65","        258.79","   10690194","          2766509304.85","      80734"
"ITC","EQ","24-Jan-2017","        259.65","        259.60","        260.75","        257.35","        260.20","        259.85","        259.40","    8031785","          2083480500.75","      69173"
"ITC","EQ","25-Jan-2017","        259.85","        259.95","        266.40","        259.60","        265.55","        265.50","        263.60","   17451497","          4600278186.40","      88253"
"ITC","EQ","27-Jan-2017","        265.50","        263.50","        266.95","        256.10","        257.50","        257.40","        261.89","   24497031","          6415422937.80","     157490"
"ITC","EQ","30-Jan-2017","        257.40","        258.40","        261.00","        255.50","        256.10","        256.10","        257.56","    8910592","          2294998074.45","      72524"
"ITC","EQ","31-Jan-2017","        256.10","        256.20","        259.95","        254.60","        258.20","        258.10","        258.04","    9995686","          2579278580.40","      66752"
"ITC","EQ","01-Feb-2017","        258.10","        260.00","        270.10","        258.50","        269.50","        269.70","        265.43","   33840797","          8982354541.90","     161356"
"ITC","EQ","02-Feb-2017","        269.70","        271.00","        279.90","        269.50","        273.60","        274.30","        274.97","   29722686","          8172841930.60","     156253"
"ITC","EQ","03-Feb-2017","        274.30","        274.00","        275.50","        270.50","        273.60","        273.05","        272.84","    9009906","          2458247193.20","      62367"
"ITC","EQ","06-Feb-2017","        273.05","        274.90","        279.00","        274.10","        276.75","        276.80","        276.86","    8221552","          2276216384.00","      86005"
"ITC","EQ","07-Feb-2017","        276.80","        278.60","        292.15","        275.60","        276.95","        277.10","        281.87","   24315156","          6853618514.60","     142771"
"ITC","EQ","08-Feb-2017","        277.10","        275.50","        279.00","        272.00","        274.30","        274.80","        274.36","   10702679","          2936408027.05","      78858"
"ITC","EQ","09-Feb-2017","        274.80","        276.00","        278.40","        272.65","        278.00","        277.65","        275.35","    4882374","          1344360889.00","      61339"
"ITC","EQ","10-Feb-2017","        277.65","        278.70","        279.10","        271.55","        274.00","        273.35","        273.82","    7680000","          2102918997.10","      55892"
"ITC","EQ","13-Feb-2017","        273.35","        275.40","        276.35","        268.60","        270.05","        270.60","        271.12","    8967548","          2431287952.20","      73073"
"ITC","EQ","14-Feb-2017","        270.60","        270.00","        273.50","        269.15","        271.55","        270.80","        270.50","    6655626","          1800316506.70","      42764"
"ITC","EQ","15-Feb-2017","        270.80","        271.20","        275.50","        271.20","        274.10","        273.40","        273.07","    7537315","          2058187153.05","     102853"
"ITC","EQ","16-Feb-2017","        273.40","        270.05","        271.50","        265.70","        266.30","        266.65","        268.76","   10575410","          2842198744.20","      94805"
"ITC","EQ","17-Feb-2017","        266.65","        267.35","        268.90","        264.00","        267.80","        268.15","        267.07","    9341064","          2494743279.45","      97979"
"ITC","EQ","20-Feb-2017","        268.15","        266.00","        267.45","        265.55","        266.15","        266.05","        266.25","    5714329","          1521442087.30","      29287"
"ITC","EQ","21-Feb-2017","        266.05","        266.00","        266.25","        260.80","        262.90","        263.15","        262.56","    9871075","          2591766461.85","     105074"
"ITC","EQ","22-Feb-2017","        263.15","        264.40","        266.25","        261.65","        264.00","        263.45","        263.78","    8488101","          2239025986.70","      62914"
"ITC","EQ","23-Feb-2017","        263.45","        264.00","        268.20","        261.60","        266.55","        265.65","        265.03","   12361234","          3276081194.85","      63838"
"ITC","EQ","27-Feb-2017","        265.65","        265.55","        266.00","        257.85","        265.00","        264.60","        263.50","    5075088","          1337306775.75","      50354"
"ITC","EQ","28-Feb-2017","        264.60","        263.00","        264.60","        260.90","        261.40","        262.20","        262.85","    8240790","          2166086550.50","      95489"
"ITC","EQ","01-Mar-2017","        262.20","        262.40","        269.70","        262.40","        268.10","        268.50","        265.95","   14578413","          3877082531.25","      97475"
"ITC","EQ","02-Mar-2017","        268.50","        268.50","        270.25","        263.50","        264.90","        264.75","        266.48","   10066049","          2682360735.70","     120157"
"ITC","EQ","03-Mar-2017","        264.75","        262.00","        263.40","        258.15","        262.50","        261.55","        260.56","    9987225","          2602263229.95","     118779"
"ITC","EQ","06-Mar-2017","        261.55","        262.70","        265.05","        261.55","        264.35","        264.10","        263.42","    9559221","          2518136390.75","      77586"
"ITC","EQ","07-Mar-2017","        264.10","        264.30","        265.00","        261.15","        264.35","        264.25","        263.54","    6917130","          1822964325.05","      59829"
"ITC","EQ","08-Mar-2017","        264.25","        264.45","        265.50","        263.50","        264.00","        264.15","        264.50","    5771334","          1526506672.55","      54615"
"ITC","EQ","09-Mar-2017","        264.15","        266.10","        266.30","        262.30","        265.00","        264.95","        264.45","    9481938","          2507496261.45","      65806"
"ITC","EQ","10-Mar-2017","        264.95","        264.95","        265.05","        262.65","        263.90","        263.45","        264.09","    5662302","          1495348162.40","      51495"
"ITC","EQ","14-Mar-2017","        263.45","        266.20","        271.65","        265.20","        266.35","        267.10","        268.52","   17821655","          4785418652.35","     165068"
"ITC","EQ","15-Mar-2017","        267.10","        265.20","        270.70","        265.20","        269.20","        268.20","        268.93","   13938663","          3748554651.80","     133690"
"ITC","EQ","16-Mar-2017","        268.20","        270.25","        271.25","        267.50","        268.85","        268.45","        268.64","    8685534","          2333257505.85","     118339"
"ITC","EQ","17-Mar-2017","        268.45","        276.80","        288.90","        276.80","        280.25","        281.25","        284.43","   52012274","         14794052690.70","     291766"
"ITC","EQ","20-Mar-2017","        281.25","        282.90","        284.20","        277.80","        284.00","        281.90","        280.05","   15897260","          4452068954.55","     115321"
"ITC","EQ","21-Mar-2017","        281.90","        283.20","        288.60","        283.00","        287.55","        287.90","        285.95","   13225065","          3781655997.40","     101326"
"ITC","EQ","22-Mar-2017","        287.90","        285.00","        287.85","        278.60","        279.40","        279.85","        283.56","   12397015","          3515333325.55","      77689"
"ITC","EQ","23-Mar-2017","        279.85","        277.50","        282.50","        275.10","        277.85","        277.60","        277.70","   16897153","          4692265991.75","      87103"
"ITC","EQ","24-Mar-2017","        277.60","        278.85","        283.00","        278.75","        280.60","        281.00","        281.33","    7123953","          2004150948.85","      70432"
"ITC","EQ","27-Mar-2017","        281.00","        280.45","        282.90","        276.30","        282.70","        281.60","        280.08","   12154973","          3404361276.30","      62906"
"ITC","EQ","28-Mar-2017","        281.60","        281.60","        282.20","        280.05","        280.50","        280.50","        280.92","    6289874","          1766940661.70","      50318"
